filename	backend	ocr_calls
10501.png	docling	9
1085.png	docling	0
1125.png	docling	0
1130.png	docling	0
1168.png	docling	0
11880.png	docling	40
12536.png	docling	0
1266.png	docling	1
2263.png	docling	0
309.png	docling	3
3607.png	docling	14
4287.png	docling	6
4980.png	docling	1
5185.png	docling	2
5605.png	docling	1
5749.png	docling	0
5755.png	docling	0
592.png	docling	0
6701.png	docling	0
6711.png	docling	0
6727.png	docling	0
6743.png	docling	0
6751.png	docling	1
6757.png	docling	28
6797.png	docling	8
7246.png	docling	1
7413.png	docling	5
7552.png	docling	0
853.png	docling	0
9326.png	docling	5
1153.png	glm-ocr	5
12948.png	glm-ocr	5
14179.png	glm-ocr	1
1426.png	glm-ocr	1
14289.png	glm-ocr	1
14314.png	glm-ocr	4
14336.png	glm-ocr	2
14348.png	glm-ocr	1
14771.png	glm-ocr	2
14909.png	glm-ocr	1
1631.png	glm-ocr	1
4772.png	glm-ocr	1
4973.png	glm-ocr	1
5079.png	glm-ocr	1
5201.png	glm-ocr	2
5926.png	glm-ocr	1
5948.png	glm-ocr	1
6035.png	glm-ocr	1
6244.png	glm-ocr	3
7027.png	glm-ocr	1
7533.png	glm-ocr	3
7550.png	glm-ocr	1
7572.png	glm-ocr	1
7573.png	glm-ocr	1
7634.png	glm-ocr	1
7645.png	glm-ocr	1
7845.png	glm-ocr	1
8179.png	glm-ocr	1
8864.png	glm-ocr	2
8870.png	glm-ocr	1
9072.png	glm-ocr	2
